SampleID	Diet	Time	Diet_Time	mouse	Time_numeric	run	run_date
D84_M10	LF_PP	Day84	LF_PP_Day84	M10	84	run2	Sept_18
D84_M11	LF_PP	Day84	LF_PP_Day84	M11	84	run2	Sept_18
D84_M12	LF_PP	Day84	LF_PP_Day84	M12	84	run2	Sept_18
D84_M13	LF_PP	Day84	LF_PP_Day84	M13	84	run2	Sept_18
D84_M14	LF_PP	Day84	LF_PP_Day84	M14	84	run2	Sept_18
D84_M15	LF_PP	Day84	LF_PP_Day84	M15	84	run2	Sept_18
D84_M16	LF_PP	Day84	LF_PP_Day84	M16	84	run2	Sept_18
D84_M5	LF_PP	Day84	LF_PP_Day84	M5	84	run2	Sept_18
D84_M6	LF_PP	Day84	LF_PP_Day84	M6	84	run2	Sept_18
D84_M7	LF_PP	Day84	LF_PP_Day84	M7	84	run2	Sept_18
D84_M8	LF_PP	Day84	LF_PP_Day84	M8	84	run2	Sept_18
D84_M9	LF_PP	Day84	LF_PP_Day84	M9	84	run2	Sept_18
